001,プロジェクト統合マネジメント
002,プロジェクト・スコープ・マネジメント
003,プロジェクト・スケジュール・マネジメント
004,プロジェクト・コスト・マネジメント
005,プロジェクト品質マネジメント
006,プロジェクト資源マネジメント
007,プロジェクト・コミュニケーション・マネジメント
008,プロジェクト・リスク・マネジメント
009,プロジェクト・調達マネジメント
010,プロジェクト・ステーク・マネジメント
